$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	54-526: Ferris Rd@22.5-421: Ferris Rd@15.4	526	421	20	20	0	0	0	4.09	4.09				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	54-526: Ferris Rd@22.5-525: Ferris Rd@18.9	526	525	655	591	1	51	12	0.34	0.29	2.33	0.82	0.80	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	54-527: Zone connector@58.2-310@35.3	527	310	3	3	0	0	0	5.11	5.11				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	54-527: Zone connector@58.2-421: Ferris Rd@15.4	527	421	1351	1277	2	61	11	0.52	0.49	1.97	0.93	1.31	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	54-528@5.7-421: Ferris Rd@15.4	528	421	33	32	0	1	0	5.09	5.07		5.57		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	54-528@5.7-525: Ferris Rd@18.9	528	525	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	54			2068	1928	3	114	23	0.59	0.56	2.09	0.97	1.04	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-600: Leakes Rd@50.8-273@50.4	600	273	357	352	0	5	0	7.73	7.70		9.82		0.15	0.15		0.00		LOS_A	1	0.00	0.00
1	3600-7200	58-600: Leakes Rd@50.8-437: Leakes Rd@57.3	600	437	939	902	0	27	9	0.39	0.37		0.49	1.14	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-1263: Leakes Rd@68.4-271: Leakes Rd@68.8	1263	271	640	607	0	22	10	1.17	1.16		1.39	1.39	0.08	0.08		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-1263: Leakes Rd@68.4-273@50.4	1263	273	579	555	3	20	1	8.89	8.74	12.02	12.09	15.01	0.45	0.44	0.00	0.58	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-2374@24.3-271: Leakes Rd@68.8	2374	271	239	229	0	8	2	7.93	7.66		14.19	14.26	0.00	0.00		0.00	0.00	LOS_A	1	0.01	9.45
1	3600-7200	58-2374@24.3-437: Leakes Rd@57.3	2374	437	225	206	0	18	1	1.84	1.63		4.12	4.43	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58			2979	2851	3	100	23	3.80	3.75	12.02	5.22	3.14	0.12	0.12	0.00	0.12	0.00	LOS_A	1	0.00	9.45
1	3600-7200	59-271: Leakes Rd@308.5-401: Leakes Rd@28.9	271	401	878	836	0	29	12	0.50	0.45		1.48	1.34	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	59-443@92.7-270: Leakes Rd@21.8	443	270	238	237	0	1	0	0.10	0.10		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	59-443@92.7-442@13.5	443	442	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	59-605: Leakes Rd@52.6-270: Leakes Rd@21.8	605	270	1058	1017	0	31	9	0.39	0.36		0.58	0.87	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	59-605: Leakes Rd@52.6-442@13.5	605	442	22	22	0	0	0	2.54	2.54				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	59			2196	2112	0	61	21	0.42	0.39		1.00	1.14	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-398: Taylors Rd@22.2	604	398	64	64	0	0	0	4.10	4.10				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-402: Leakes Rd@47.2	604	402	768	732	0	28	8	0.28	0.28		0.15	0.66	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-2146@35.1	604	2146	41	40	0	1	0	7.41	7.37		8.90		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	60-606: Leakes Rd@70.2-402: Leakes Rd@47.2	606	402	112	111	0	0	0	1.30	1.27				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-607: Taylors Rd@70.4-400: Leakes Rd@76.7	607	400	31	31	0	0	0	1.55	1.55				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-607: Taylors Rd@70.4-2146@35.1	607	2146	31	31	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-398: Taylors Rd@22.2	938	398	361	349	0	9	2	4.51	4.34		7.04	7.85	0.02	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-400: Leakes Rd@76.7	938	400	400	376	0	18	6	0.46	0.37		1.74	2.08	0.03	0.03		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-402: Leakes Rd@47.2	938	402	12	10	0	1	1	8.31	8.41		8.30	7.26	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-2146@35.1	938	2146	101	97	0	1	3	0.92	0.81		0.55	4.66	0.00	0.00		0.00	0.17	LOS_A	1	0.01	32.10
1	3600-7200	60-2148@10.0-398: Taylors Rd@22.2	2148	398	63	63	0	0	0	0.10	0.10				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-2148@10.0-402: Leakes Rd@47.2	2148	402	186	184	0	2	0	3.74	3.71		6.61		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	60-12471@13.8-400: Leakes Rd@76.7	12471	400	52	52	0	0	0	3.74	3.74				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60			2222	2140	0	60	20	1.75	1.71		2.16	2.73	0.01	0.01		0.00	0.03	LOS_A	1	0.00	32.10
1	3600-7200	61-539: Leakes Rd@105.5-438: Leakes Rd@41.9	539	438	118	106	0	9	3	0.26	0.21		0.72	0.62	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-863: Leakes Rd@80.4-265@25.1	863	265	321	308	0	8	5	5.45	5.47		5.23	4.82	0.10	0.10		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-863: Leakes Rd@80.4-435: Leakes Rd@21.2	863	435	820	777	0	37	5	0.83	0.77		1.59	2.81	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-2344: Leakes Rd@29.9-265@25.1	2344	265	365	347	0	14	2	4.51	4.51		4.56	4.68	0.00	0.00		0.00	0.00	LOS_A	1	1.82	45.42
1	3600-7200	61-2344: Leakes Rd@29.9-438: Leakes Rd@41.9	2344	438	1091	1045	3	34	8	0.44	0.42	0.46	0.74	1.34	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-2345@108.7-435: Leakes Rd@21.2	2345	435	364	347	1	10	4	0.69	0.68	0.67	0.48	0.59	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61			3079	2930	4	112	27	1.57	1.55	0.52	1.79	2.31	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.36	45.42
1	3600-7200	62-267: Ian Cowie Way@65.6-264: Leakes Rd@17.3	267	264	2	2	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	62-267: Ian Cowie Way@65.6-434: Leakes Rd@22.8	267	434	6	6	0	0	0	0.15	0.15				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	62-538: Leakes Rd@89.6-264: Leakes Rd@17.3	538	264	207	197	0	8	2	1.58	1.52		2.69	3.58	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	62-538: Leakes Rd@89.6-268: Ian Cowie Way@17.3	538	268	7	7	0	0	0	0.80	0.80				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	62-864: Leakes Rd@39.3-268: Ian Cowie Way@17.3	864	268	2	2	0	0	0	5.89	5.89				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	62-864: Leakes Rd@39.3-434: Leakes Rd@22.8	864	434	304	302	0	2	0	0.12	0.13		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	62			528	516	0	10	2	0.73	0.69		2.15	3.58	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	63-374: Westcott Pde@100.7-263: Leakes Rd@9.1	374	263	139	139	0	0	0	0.07	0.07				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	63-374: Westcott Pde@100.7-372: Leakes Rd@14.9	374	372	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	63-542: Leakes Rd@34.5-372: Leakes Rd@14.9	542	372	155	145	0	8	2	0.56	0.49		1.42	2.16	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	63-542: Leakes Rd@34.5-375: Westcott Pde@26.6	542	375	54	54	0	0	0	1.05	1.05				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	63-543: Leakes Rd@6.7-263: Leakes Rd@9.1	543	263	166	164	0	2	0	0.05	0.05		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	63-543: Leakes Rd@6.7-375: Westcott Pde@26.6	543	375	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	63			514	502	0	10	2	0.31	0.29		1.14	2.16	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
