$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	7200-10800	59-443@92.7-270: Leakes Rd@21.8	443	270	185	185	0	0	0	0.30	0.30				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	59-443@92.7-442@13.5	443	442	0	0	0	0	0											LOS_A		0.00	0.00
1	7200-10800	59-605: Leakes Rd@52.6-270: Leakes Rd@21.8	605	270	1523	1419	1	46	55	1.80	1.73	12.85	2.33	2.39	0.00	0.01	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	59-605: Leakes Rd@52.6-442@13.5	605	442	34	34	0	0	0	4.16	4.16				0.35	0.35				LOS_A	1	0.00	0.00
1	7200-10800	59			3854	3668	5	83	94	1.55	1.49	5.39	2.22	2.60	0.00	0.01	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	60-604: Leakes Rd@15.4-398: Taylors Rd@22.2	604	398	89	89	0	0	0	4.93	4.93				0.00	0.00				LOS_A	1	0.00	8.18
1	7200-10800	60-604: Leakes Rd@15.4-402: Leakes Rd@47.2	604	402	821	764	1	24	32	2.02	1.99	6.04	2.80	2.03	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	7200-10800	60-604: Leakes Rd@15.4-2146@35.1	604	2146	81	80	0	1	0	9.04	8.98		13.99		0.05	0.05		0.00		LOS_A	1	0.00	0.00
1	7200-10800	60-606: Leakes Rd@70.2-402: Leakes Rd@47.2	606	402	615	569	0	22	22	4.23	4.07		7.03	5.58	0.24	0.21		0.84	0.30	LOS_A	1	0.00	0.00
1	7200-10800	60-607: Taylors Rd@70.4-400: Leakes Rd@76.7	607	400	102	102	0	0	0	3.19	3.19				0.00	0.00				LOS_A	1	0.00	0.00
1	7200-10800	60-607: Taylors Rd@70.4-2146@35.1	607	2146	76	75	0	1	0	1.35	1.35		1.34		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	7200-10800	60-938: Leakes Rd@26.8-398: Taylors Rd@22.2	938	398	1043	1007	0	17	17	6.22	6.03		7.51	10.82	0.23	0.19		0.00	0.84	LOS_A	1	0.00	0.00
1	7200-10800	60-938: Leakes Rd@26.8-400: Leakes Rd@76.7	938	400	726	699	3	11	13	3.12	2.98	3.40	3.02	10.75	0.22	0.19	0.00	0.00	2.34	LOS_A	1	0.00	0.00
