$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	58-1263: Leakes Rd@68.4-271: Leakes Rd@68.8	1263	271	633	594	0	30	8	2.51	2.50		2.73	2.83	0.18	0.20		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-1263: Leakes Rd@68.4-273@50.4	1263	273	578	559	2	16	1	4.65	4.63	10.76	4.58	5.47	0.22	0.22	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-2374@24.3-271: Leakes Rd@68.8	2374	271	246	233	0	10	3	7.73	7.49		11.84	13.03	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-2374@24.3-437: Leakes Rd@57.3	2374	437	222	203	0	17	2	1.62	1.46		2.92	6.32	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58			2967	2846	3	96	20	3.93	3.90	8.10	4.33	4.80	0.16	0.17	0.00	0.11	0.00	LOS_A	1	0.00	0.00
1	3600-7200	59-271: Leakes Rd@308.5-401: Leakes Rd@28.9	271	401	879	827	0	40	11	0.65	0.59		1.51	1.74	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	59-443@92.7-270: Leakes Rd@21.8	443	270	236	235	0	1	0	0.22	0.22		0.05		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	59-443@92.7-442@13.5	443	442	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	59-605: Leakes Rd@52.6-270: Leakes Rd@21.8	605	270	1053	1023	1	22	6	0.70	0.68	1.55	0.81	1.23	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	59-605: Leakes Rd@52.6-442@13.5	605	442	21	21	0	0	0	2.29	2.29				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	59			2189	2106	1	63	17	0.65	0.61	1.55	1.24	1.56	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-398: Taylors Rd@22.2	604	398	71	71	0	0	0	4.44	4.44				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-402: Leakes Rd@47.2	604	402	764	736	1	21	6	1.03	1.03	2.04	1.02	0.66	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-2146@35.1	604	2146	39	38	0	1	0	8.61	8.55		11.01		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	60-606: Leakes Rd@70.2-402: Leakes Rd@47.2	606	402	115	114	0	0	0	1.39	1.35				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-607: Taylors Rd@70.4-400: Leakes Rd@76.7	607	400	32	32	0	0	0	1.64	1.64				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-607: Taylors Rd@70.4-2146@35.1	607	2146	32	32	0	0	0	0.05	0.05				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-398: Taylors Rd@22.2	938	398	366	350	0	13	2	4.57	4.41		7.10	6.91	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-400: Leakes Rd@76.7	938	400	401	376	0	20	5	0.61	0.55		1.43	2.19	0.04	0.05		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-402: Leakes Rd@47.2	938	402	12	11	0	1	0	7.17	6.98		9.29		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-2146@35.1	938	2146	100	90	0	6	4	0.67	0.56		1.87	1.58	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-2148@10.0-398: Taylors Rd@22.2	2148	398	64	64	0	0	0	0.27	0.27				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-2148@10.0-402: Leakes Rd@47.2	2148	402	183	183	0	0	0	4.23	4.23				0.02	0.02				LOS_A	1	0.00	0.00
1	3600-7200	60-12471@13.8-400: Leakes Rd@76.7	12471	400	51	51	0	0	0	4.01	4.01				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60			2230	2148	1	62	17	2.11	2.08	2.04	2.80	2.06	0.01	0.01	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-539: Leakes Rd@105.5-438: Leakes Rd@42.1	539	438	115	99	0	13	3	0.46	0.36		1.15	0.68	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-863: Leakes Rd@80.4-265@25.0	863	265	335	327	0	6	2	9.54	9.47		13.85	7.89	1.39	1.40		1.43	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-863: Leakes Rd@80.4-435: Leakes Rd@21.2	863	435	815	773	1	34	6	3.97	4.00	1.88	3.06	5.66	0.57	0.60	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-2344: Leakes Rd@29.9-265@25.0	2344	265	376	357	0	15	2	4.64	4.67		4.71	3.04	1.71	1.76		0.89	0.00	LOS_A	1	15.15	105.08
1	3600-7200	61-2344: Leakes Rd@29.9-438: Leakes Rd@42.1	2344	438	1096	1054	2	33	6	1.47	1.45	0.52	2.14	1.82	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-2345@108.7-435: Leakes Rd@21.2	2345	435	358	341	1	12	3	1.24	1.26	0.61	0.59	1.12	0.02	0.02	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61			3095	2951	4	113	22	3.33	3.34	0.88	3.10	3.28	0.51	0.53	0.00	0.19	0.00	LOS_A	1	3.03	105.08
1	3600-7200	62-267: Ian Cowie Way@65.6-264: Leakes Rd@17.3	267	264	2	2	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	62-267: Ian Cowie Way@65.6-434: Leakes Rd@22.8	267	434	5	5	0	0	0	0.04	0.04				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	62-538: Leakes Rd@89.6-264: Leakes Rd@17.3	538	264	208	202	0	6	0	1.77	1.73		2.86		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	62-538: Leakes Rd@89.6-268: Ian Cowie Way@17.3	538	268	8	8	0	0	0	9.92	9.92				5.89	5.89				LOS_A	1	0.00	0.00
1	3600-7200	62-864: Leakes Rd@39.3-268: Ian Cowie Way@17.3	864	268	2	2	0	0	0	5.79	5.79				0.00	0.00				LOS_A	1	0.00	0.00
